DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2011,138,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2012,135,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2013,152,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2014,155,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2015,134,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2016,143,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2017,119,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2018,128,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2019,141,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LU,2020,117,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2011,55,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2012,58,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2013,59,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2014,66,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2015,69,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2016,67,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2017,77,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2018,103,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2019,94,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LV,2020,95,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2011,31,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2012,26,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2013,24,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2014,21,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2015,22,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2016,23,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2017,17,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2018,27,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2019,28,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,MT,2020,21,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2011,1170,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2012,1127,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2013,3169,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2014,2368,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2015,543,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2016,344,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2017,1449,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2018,2025,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2019,891,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NL,2020,892,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2011,343,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2012,610,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2013,254,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2014,145,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2015,207,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2016,213,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2017,208,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2018,216,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2019,209,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,NO,2020,210,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,PL,2011,1407,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,PL,2012,1374,
